trade_date,vintage,open,high,low,close,chg_pct,total_vol_t,total_amt_cny,listed_vol_t,listed_amt_cny,block_vol_t,block_amt_cny,auction_vol_t,auction_amt_cny,source_month
2023-01-03,CEA,55.0,55.0,55.0,55.0,0.0,100.0,5500.0,100.0,5500.0,0.0,0.0,,,2023-01
2023-01-04,CEA,55.0,55.0,55.0,55.0,0.0,100.0,5500.0,100.0,5500.0,0.0,0.0,,,2023-01
2023-01-05,CEA,55.0,55.0,55.0,55.0,0.0,4291.0,236005.0,4291.0,236005.0,0.0,0.0,,,2023-01
2023-01-06,CEA,56.0,56.0,56.0,56.0,1.82,1000.0,56000.0,1000.0,56000.0,0.0,0.0,,,2023-01
2023-01-09,CEA,56.0,56.0,56.0,56.0,0.0,100.0,5600.0,100.0,5600.0,0.0,0.0,,,2023-01
2023-01-10,CEA,56.0,56.0,56.0,56.0,0.0,100.0,5600.0,100.0,5600.0,0.0,0.0,,,2023-01
2023-01-11,CEA,55.73,55.73,55.73,55.73,0.48,100.0,5573.0,100.0,5573.0,0.0,0.0,,,2023-01
2023-01-12,CEA,55.5,55.5,55.5,55.5,0.41,100.0,5550.0,100.0,5550.0,0.0,0.0,,,2023-01
2023-01-13,CEA,55.5,55.5,55.5,55.5,0.0,100.0,5550.0,100.0,5550.0,0.0,0.0,,,2023-01
2023-01-16,CEA,55.73,55.73,55.73,55.73,0.41,150000.0,8359500.0,150000.0,8359500.0,0.0,0.0,,,2023-01
2023-01-17,CEA,55.73,55.73,55.73,55.73,0.0,99999.0,5572944.27,99999.0,5572944.27,0.0,0.0,,,2023-01
2023-01-18,CEA,56.0,56.0,56.0,56.0,0.48,100.0,5600.0,100.0,5600.0,0.0,0.0,,,2023-01
2023-01-19,CEA,56.0,56.0,56.0,56.0,0.0,100.0,5600.0,100.0,5600.0,0.0,0.0,,,2023-01
2023-01-20,CEA,56.0,56.0,56.0,56.0,0.0,10.0,560.0,10.0,560.0,0.0,0.0,,,2023-01
2023-01-30,CEA,56.0,56.0,56.0,56.0,0.0,600.0,33600.0,600.0,33600.0,0.0,0.0,,,2023-01
2023-01-31,CEA,56.0,56.0,56.0,56.0,0.0,600.0,33600.0,600.0,33600.0,0.0,0.0,,,2023-01
2023-02-01,CEA,56.0,56.0,56.0,56.0,0.0,100.0,5600.0,100.0,5600.0,0.0,0.0,,,2023-02
2023-02-02,CEA,56.0,56.0,56.0,56.0,0.0,300.0,16800.0,300.0,16800.0,0.0,0.0,,,2023-02
2023-02-03,CEA,56.0,56.0,56.0,56.0,0.0,110.0,6160.0,110.0,6160.0,0.0,0.0,,,2023-02
2023-02-06,CEA,56.0,56.0,56.0,56.0,0.0,600.0,33600.0,600.0,33600.0,0.0,0.0,,,2023-02
2023-02-07,CEA,56.0,56.0,56.0,56.0,0.0,8500.0,476000.0,8500.0,476000.0,0.0,0.0,,,2023-02
2023-02-08,CEA,56.0,56.0,56.0,56.0,0.0,100.0,5600.0,100.0,5600.0,0.0,0.0,,,2023-02
2023-02-09,CEA,56.0,56.0,56.0,56.0,0.0,100100.0,5555600.0,100.0,5600.0,100000.0,5550000.0,,,2023-02
2023-02-10,CEA,56.0,56.0,56.0,56.0,0.0,10.0,560.0,10.0,560.0,0.0,0.0,,,2023-02
2023-02-13,CEA,56.0,56.0,56.0,56.0,0.0,500.0,28000.0,500.0,28000.0,0.0,0.0,,,2023-02
2023-02-14,CEA,56.0,56.0,56.0,56.0,0.0,200500.0,11528000.0,500.0,28000.0,200000.0,11500000.0,,,2023-02
2023-02-15,CEA,56.0,57.5,56.0,56.04,0.07,320510.0,18399310.0,20510.0,1149310.0,300000.0,17250000.0,,,2023-02
