trade_date,source,price_basis,open,high,low,close,close_vintage,listed_vol_t,listed_amt_cny,listed_vwap,block_vol_t,block_amt_cny,block_vwap,auction_vol_t,auction_amt_cny,total_vol_t,total_amt_cny,total_vwap,cum_vol_t,cum_amt_cny
2021-07-16,seee,listed,,,,51.23,,4103953.0,210230053.25,51.2262,0.0,0.0,,,,4103953.0,210230053.25,51.2262,4103953.0,210230053.25
2021-07-19,seee,listed,52.8,53.0,52.08,52.3,,130800.0,6841289.0,52.3034,0.0,0.0,,,,130800.0,6841289.0,52.3034,4234753.0,217071342.25
2021-07-20,seee,listed,52.92,54.0,52.9,53.28,,162000.0,8631277.0,53.2795,0.0,0.0,,,,162000.0,8631277.0,53.2795,4396753.0,225702619.25
2021-07-21,seee,listed,54.2,55.5,54.07,54.4,,112000.0,6092830.0,54.4003,100000.0,5292000.0,52.92,,,212000.0,11384830.0,53.702,4608753.0,237087449.25
2021-07-22,seee,listed,55.3,58.5,54.3,55.52,,112200.0,6229088.0,55.5177,0.0,0.0,,,,112200.0,6229088.0,55.5177,4720953.0,243316537.25
2021-07-23,seee,listed,56.52,61.07,55.52,56.97,,112000.0,6380260.0,56.9666,0.0,0.0,,,,112000.0,6380260.0,56.9666,4832953.0,249696797.25
2021-07-26,seee,listed,54.5,54.85,53.98,54.46,,48000.0,2614220.0,54.4629,0.0,0.0,,,,48000.0,2614220.0,54.4629,4880953.0,252311017.25
2021-07-27,seee,listed,52.2,55.76,51.34,54.63,,74211.0,4054248.14,54.6314,0.0,0.0,,,,74211.0,4054248.14,54.6314,4955164.0,256365265.39
2021-07-28,seee,listed,52.03,56.8,52.03,52.5,,72747.0,3819063.49,52.4979,800000.0,32784000.0,40.98,,,872747.0,36603063.49,41.9401,5827911.0,292968328.88
2021-07-29,seee,listed,52.9,54.88,50.98,52.96,,84026.0,4450253.42,52.9628,0.0,0.0,,,,84026.0,4450253.42,52.9628,5911937.0,297418582.3
2021-07-30,seee,listed,52.96,58.1,51.5,54.17,,40000.0,2166806.0,54.1701,0.0,0.0,,,,40000.0,2166806.0,54.1701,5951937.0,299585388.3
2021-08-02,seee,listed,50.35,55.3,50.35,51.99,,42022.0,2184609.4,51.9873,0.0,0.0,,,,42022.0,2184609.4,51.9873,5993959.0,301769997.7
2021-08-03,seee,listed,48.0,57.0,48.0,53.44,,45005.0,2405040.0,53.4394,0.0,0.0,,,,45005.0,2405040.0,53.4394,6038964.0,304175037.7
2021-08-04,seee,listed,58.7,58.7,58.7,58.7,,20000.0,1174000.0,58.7,0.0,0.0,,,,20000.0,1174000.0,58.7,6058964.0,305349037.7
2021-08-05,seee,listed,52.85,59.0,52.85,54.9,,60000.0,3294000.0,54.9,0.0,0.0,,,,60000.0,3294000.0,54.9,6118964.0,308643037.7
2021-08-06,seee,listed,52.96,52.96,52.96,52.96,,20000.0,1059200.0,52.96,0.0,0.0,,,,20000.0,1059200.0,52.96,6138964.0,309702237.7
2021-08-09,seee,listed,53.3,58.26,53.3,53.32,,3010.0,160482.6,53.3165,279856.0,14100693.72,50.3855,,,282866.0,14261176.32,50.4167,6421830.0,323963414.02
2021-08-10,seee,listed,55.32,55.32,55.32,55.32,,20000.0,1106400.0,55.32,0.0,0.0,,,,20000.0,1106400.0,55.32,6441830.0,325069814.02
2021-08-11,seee,listed,55.9,55.9,55.9,55.9,,20000.0,1118000.0,55.9,0.0,0.0,,,,20000.0,1118000.0,55.9,6461830.0,326187814.02
2021-08-12,seee,listed,52.0,55.7,52.0,55.43,,6001.0,332652.0,55.4328,0.0,0.0,,,,6001.0,332652.0,55.4328,6467831.0,326520466.02
2021-08-13,seee,listed,55.43,55.43,54.0,54.0,,51001.0,2754055.43,54.0,0.0,0.0,,,,51001.0,2754055.43,54.0,6518832.0,329274521.45
2021-08-16,seee,listed,51.0,51.0,51.0,51.0,,10.0,510.0,51.0,500000.0,25750000.0,51.5,,,500010.0,25750510.0,51.5,7018842.0,355025031.45
2021-08-17,seee,listed,52.0,52.5,51.2,51.76,,7001.0,362352.0,51.7572,0.0,0.0,,,,7001.0,362352.0,51.7572,7025843.0,355387383.45
2021-08-18,seee,listed,51.8,52.0,51.8,51.87,,3000.0,155600.0,51.8667,0.0,0.0,,,,3000.0,155600.0,51.8667,7028843.0,355542983.45
2021-08-19,seee,listed,52.0,52.0,50.0,50.49,,4001.0,202002.0,50.4879,0.0,0.0,,,,4001.0,202002.0,50.4879,7032844.0,355744985.45
2021-08-20,seee,listed,49.0,49.0,49.0,49.0,,8000.0,392000.0,49.0,900000.0,37350000.0,41.5,,,908000.0,37742000.0,41.5661,7940844.0,393486985.45
2021-08-23,seee,listed,49.0,50.2,49.0,50.2,,3002.0,150698.0,50.1992,0.0,0.0,,,,3002.0,150698.0,50.1992,7943846.0,393637683.45
2021-08-24,seee,listed,50.19,50.2,50.17,50.2,,2002.0,100500.36,50.2,0.0,0.0,,,,2002.0,100500.36,50.2,7945848.0,393738183.81
2021-08-25,seee,listed,49.0,49.0,47.0,47.64,,35210.0,1677280.0,47.6365,250000.0,11493000.0,45.972,,,285210.0,13170280.0,46.1775,8231058.0,406908463.81
2021-08-26,seee,listed,45.0,47.65,45.0,47.64,,4212.0,200673.0,47.6432,0.0,0.0,,,,4212.0,200673.0,47.6432,8235270.0,407109136.81
2021-08-27,seee,listed,44.0,45.1,44.0,45.09,,101.0,4554.0,45.0891,205000.0,9020000.0,44.0,,,205101.0,9024554.0,44.0005,8440371.0,416133690.81
2021-08-30,seee,listed,45.09,45.22,45.09,45.16,,35.0,1580.75,45.1643,0.0,0.0,,,,35.0,1580.75,45.1643,8440406.0,416135271.56
2021-08-31,seee,listed,45.16,45.5,45.16,45.35,,23.0,1043.1,45.3522,0.0,0.0,,,,23.0,1043.1,45.3522,8440429.0,416136314.66
