trade_date,listed_vwap,block_vwap,block_discount_pct,block_vol_t
2021-07-21,54.4003,52.92,-2.721,100000.0
2021-07-28,52.4979,40.98,-21.94,800000.0
2021-08-09,53.3165,50.3855,-5.497,279856.0
2021-08-16,51.0,51.5,0.98,500000.0
2021-08-20,49.0,41.5,-15.306,900000.0
2021-08-25,47.6365,45.972,-3.494,250000.0
2021-08-27,45.0891,44.0,-2.415,205000.0
2021-09-29,41.843,41.0862,-1.809,580000.0
2021-09-30,42.2062,41.788,-0.991,8403359.0
2021-10-12,44.6679,43.89,-1.742,385539.0
2021-10-18,43.4364,41.5,-4.458,520000.0
2021-10-19,43.4301,40.0,-7.898,100000.0
2021-10-20,43.2385,41.5,-4.021,100000.0
2021-10-21,43.0315,41.5,-3.559,120000.0
2021-10-27,42.6113,41.8333,-1.826,300000.0
2021-10-29,42.4142,41.2823,-2.669,620000.0
2021-11-01,42.4537,41.6192,-1.966,1437744.0
2021-11-02,42.4328,41.0,-3.377,320000.0
2021-11-10,42.7364,42.5917,-0.339,1178517.0
2021-11-12,42.6638,41.8357,-1.941,1430000.0
2021-11-15,42.9256,41.0,-4.486,300000.0
2021-11-16,43.1577,41.2697,-4.375,1650000.0
2021-11-17,43.1239,41.7,-3.302,300000.0
2021-11-18,43.1649,32.4556,-24.81,1311838.0
2021-11-19,43.0451,30.21,-29.818,1246829.0
2021-11-24,42.9636,41.6893,-2.966,1593635.0
2021-11-25,42.9623,41.825,-2.647,480000.0
2021-11-26,42.8479,42.2929,-1.295,3556213.0
2021-11-29,42.925,41.3234,-3.731,2578421.0
2021-11-30,42.9543,41.8184,-2.644,2686319.0
2021-12-01,42.9688,41.9519,-2.367,1866095.0
2021-12-02,42.8768,39.9106,-6.918,1921051.0
2021-12-03,42.9367,40.1499,-6.49,2144185.0
2021-12-06,42.7896,41.6104,-2.756,2862848.0
2021-12-07,42.1253,38.525,-8.547,4041746.0
2021-12-08,41.4589,38.4023,-7.373,3888367.0
2021-12-09,41.5622,38.6696,-6.96,5019815.0
2021-12-10,42.6904,40.5786,-4.947,5915915.0
2021-12-13,42.9469,37.7992,-11.986,6436821.0
2021-12-14,42.9344,41.952,-2.288,12419569.0
2021-12-15,43.0603,36.4505,-15.35,6573605.0
2021-12-16,44.2202,39.7025,-10.216,19579226.0
2021-12-17,46.664,41.4578,-11.157,2014648.0
2021-12-20,49.1812,42.912,-12.747,2184333.0
2021-12-21,49.4895,46.3056,-6.433,2312844.0
2021-12-22,49.3918,43.4308,-12.069,2534540.0
2021-12-23,49.5671,45.3639,-8.48,5294432.0
2021-12-24,49.5153,45.8718,-7.358,3207247.0
2021-12-27,48.1298,44.0954,-8.382,3024070.0
2021-12-28,51.6928,41.1686,-20.359,3808055.0
2021-12-29,56.639,44.8052,-20.893,4835467.0
2021-12-30,57.0585,52.9062,-7.277,9360636.0
2021-12-31,54.2185,52.3952,-3.363,2535969.0
2022-05-26,59.0,59.0,0.0,130000.0
2022-05-27,59.0,54.5,-7.627,400000.0
2022-05-31,59.0,54.5,-7.627,600000.0
2022-06-01,59.0,55.0,-6.78,100000.0
2022-06-09,59.0,59.7,1.186,150000.0
2022-06-22,60.0,60.0,0.0,150000.0
2022-06-23,60.0,55.0,-8.333,250000.0
2022-06-24,60.0,61.2,2.0,120000.0
2022-07-01,58.0,57.5,-0.862,200000.0
2022-07-21,58.22,59.5,2.199,150000.0
2022-07-28,58.9646,59.3,0.569,150000.0
2022-07-29,58.0,62.54,7.828,150000.0
2022-08-09,58.8824,45.82,-22.184,100000.0
2022-08-12,58.0,58.5,0.862,121335.0
2022-08-29,58.5,58.5,0.0,130000.0
2022-10-11,58.3427,58.0,-0.587,180000.0
2022-10-26,58.0,59.5,2.586,130000.0
2022-10-27,58.5,57.0,-2.564,108274.0
2022-10-31,58.0,43.0,-25.862,241412.0
2022-11-02,58.0,42.54,-26.655,559797.0
2022-11-04,58.0,58.5,0.862,480000.0
2022-11-14,57.8658,59.2,2.306,250000.0
2022-11-17,57.8,57.0,-1.384,920757.0
2022-11-22,57.8012,58.3,0.863,100000.0
2022-11-24,58.0,48.5,-16.379,205000.0
2022-11-25,57.8022,54.2091,-6.216,1585000.0
2022-11-28,57.8,52.0541,-9.941,363576.0
2022-11-29,57.8004,59.0,2.075,200000.0
2022-12-01,57.6998,58.46,1.318,199990.0
2022-12-09,57.0269,58.5,2.583,200000.0
2022-12-14,55.3018,57.6952,4.328,691952.0
2022-12-15,57.0,57.55,0.965,302129.0
2022-12-16,57.0,55.968,-1.811,1264400.0
2022-12-19,55.0,54.5279,-0.858,2157085.0
2022-12-20,56.0,56.3754,0.67,2507877.0
2022-12-21,56.0001,55.3024,-1.246,9125285.0
2022-12-22,56.4959,56.6317,0.24,2617774.0
2022-12-23,56.5,54.9581,-2.729,1610000.0
2022-12-26,56.2612,55.2795,-1.745,1803296.0
2022-12-27,56.2998,57.6603,2.417,986725.0
2022-12-28,55.9019,54.2701,-2.919,1260200.0
2022-12-29,55.0,48.0217,-12.688,424076.0
2023-02-09,56.0,55.5,-0.893,100000.0
2023-02-14,56.0,57.5,2.679,200000.0
2023-02-15,56.0366,57.5,2.612,300000.0
2023-02-24,56.5,55.0,-2.655,1000000.0
2023-03-03,56.0,56.7,1.25,300000.0
2023-03-07,56.0,56.7,1.25,200000.0
2023-03-28,56.0,51.5929,-7.87,476000.0
2023-03-30,56.6992,47.5733,-16.095,300000.0
2023-04-03,56.0,56.1,0.179,400000.0
2023-04-20,53.4,42.96,-19.551,300000.0
2023-04-21,53.4,57.5,7.678,300000.0
2023-05-08,56.0,57.5,2.679,100000.0
