month,days,listed_vol_t,block_vol_t,auction_vol_t,total_vol_t,total_amt_cny,block_share,vwap
2021-07,11,5051937.0,900000.0,0.0,5951937.0,299585388.3,0.1512,50.3341
2021-08,22,353636.0,2134856.0,0.0,2488492.0,116550926.36,0.8579,46.836
2021-09,20,225207.0,8983359.0,0.0,9208566.0,384592370.32,0.9755,41.7646
2021-10,16,407431.0,2145539.0,0.0,2552970.0,107426347.61999999,0.8404,42.079
2021-11,22,2960229.0,20069516.0,0.0,23029745.0,938970667.04,0.8715,40.7721
2021-12,23,21776156.0,113781484.0,0.0,135557640.0,5814104323.35,0.8394,42.8903
2022-05,4,21040.0,1130000.0,0.0,1151040.0,63411360.0,0.9817,55.0905
2022-06,21,290.0,770000.0,0.0,770290.0,44566180.0,0.9996,57.8564
2022-07,21,441990.0,650000.0,0.0,1091990.0,64230223.56,0.5952,58.8194
2022-08,23,196652.0,351335.0,0.0,547987.0,30740436.0,0.6411,56.097
2022-09,21,10810.0,0.0,0.0,10810.0,634565.0,0.0,58.7017
2022-10,16,310060.0,659686.0,0.0,969746.0,52846965.0,0.6803,54.4957
2022-11,22,2634242.0,4664130.0,0.0,7298372.0,403674833.58,0.6391,55.3103
2022-12,22,1102199.0,25150789.0,0.0,26252988.0,1459346679.1100001,0.958,55.5878
2023-01,16,257400.0,0.0,0.0,257400.0,14342282.27,0.0,55.7198
2023-02,20,254306.0,1600000.0,0.0,1854306.0,103596080.8,0.8629,55.8678
2023-03,23,31603.0,1276000.0,0.0,1307603.0,68954861.0,0.9758,52.7338
2023-04,19,52703.0,1000000.0,0.0,1052703.0,55457064.0,0.9499,52.6806
2023-05,20,206834.0,1025000.0,0.0,1231834.0,69497532.01,0.8321,56.4179
2023-06,20,1226713.0,1075748.0,0.0,2302461.0,124518522.5,0.4672,54.0806
2023-07,21,847544.0,2161717.0,0.0,3009261.0,165622269.66,0.7184,55.0375
2023-08,23,1459168.0,11938543.0,0.0,13397711.0,825755529.77,0.8911,61.6341
2023-09,20,6678431.0,28896740.0,0.0,35575171.0,2338785836.0099998,0.8123,65.7421
2023-10,17,7527526.0,85523795.0,0.0,93051321.0,6421746435.39,0.9191,69.013
2023-11,22,9794138.0,30638150.0,0.0,40432288.0,2902504446.2099996,0.7578,71.7868
2023-12,21,6660277.0,11811478.0,0.0,18471755.0,1353135192.39,0.6394,73.2543
2024-01,22,436240.0,2580006.0,0.0,3016246.0,219023666.56,0.8554,72.6147
2024-02,15,1165367.0,1240659.0,0.0,2406026.0,181461116.04,0.5156,75.4194
2024-03,21,1465465.0,1727522.0,0.0,3192987.0,272776917.3,0.541,85.43
2024-04,20,2272710.0,4252658.0,0.0,6525368.0,590670864.0799999,0.6517,90.5192
2024-05,20,604190.0,2277304.0,0.0,2881494.0,244620857.26000002,0.7903,84.8938
2024-06,19,1183902.0,2803181.0,0.0,3987083.0,366222050.75,0.7031,91.8521
2024-07,23,731622.0,2759000.0,0.0,3490622.0,317613168.0,0.7904,90.9904
2024-08,22,1534557.0,4327554.0,0.0,5862111.0,505376806.41999996,0.7382,86.2107
2024-09,19,2458347.0,5377240.0,0.0,7835587.0,757642281.1700001,0.6863,96.6925
2024-10,18,4100825.0,9144932.0,0.0,13245757.0,1295522881.8200002,0.6904,97.8066
2024-11,21,7668426.0,53168815.0,0.0,60837241.0,5930276356.54,0.874,97.4777
2024-12,22,13535769.0,61829762.0,0.0,75365531.0,7385561333.79,0.8204,97.9965
2025-01,18,341569.0,1650000.0,0.0,1991569.0,181388217.14,0.8285,91.078
2025-02,18,795568.0,500000.0,0.0,1295568.0,97408177.71000001,0.3859,75.1857
2025-03,21,1129462.0,2318941.0,0.0,3448403.0,284525291.22,0.6725,82.5093
2025-04,21,1862293.0,4043720.0,0.0,5906013.0,456862457.4,0.6847,77.3555
2025-05,19,3540051.0,6830529.0,0.0,10370580.0,734214792.2299999,0.6586,70.7979
2025-06,20,4188135.0,11696540.0,0.0,15884675.0,1145082996.31,0.7363,72.0873
2025-07,23,5639762.0,5894464.0,130000.0,11664226.0,855061706.2799999,0.5053,73.3063
2025-08,21,5030527.0,10073284.0,5000.0,15108811.0,1042435228.7900001,0.6667,68.9952
2025-09,22,11238793.0,21460114.0,2000.0,32700907.0,2003662939.7399998,0.6563,61.2724
2025-10,17,10525810.0,30936720.0,100000.0,41562530.0,1988434330.9899998,0.7443,47.842
2025-11,20,17632414.0,30020811.0,100000.0,47753225.0,2756968941.1400003,0.6287,57.7337
2025-12,23,18406728.0,28776571.0,0.0,47183299.0,3087125599.11,0.6099,65.4284
2026-01,20,1209978.0,9725031.0,0.0,10935009.0,794730241.8000001,0.8893,72.6776
2026-02,14,486797.0,3000000.0,0.0,3486797.0,267270040.5,0.8604,76.652
2026-03,22,1518628.0,3986187.0,0.0,5504815.0,428593743.45,0.7241,77.858
2026-04,21,2181442.0,6833004.0,0.0,9014446.0,671903999.7600001,0.758,74.5364
2026-05,18,3763333.0,7343711.0,1000.0,11108044.0,886139341.43,0.6611,79.7746
2026-06,21,4925462.0,7984000.0,0.0,12909462.0,1040462350.34,0.6185,80.5969
2026-07,23,5842148.0,11418071.0,0.0,17260219.0,1520639147.7300003,0.6615,88.1008
2026-08,10,2885895.0,5091736.0,0.0,7977631.0,768508354.5899999,0.6383,96.3329
