cell_id,lat,lon,land_frac,in_province,dist_to_province,offshore_zone,retain,w_uniform,w_province,w_wind,w_solar,cap_source
0,38.5,114.75,1.0,0.0,1.5128,0,0,0.0,0.0,0.0,0.0,wind=OSM/Dunnett turbine counts; solar=Kruitwagen PV
1,38.5,115.0,1.0,0.0,1.3419,0,0,0.0,0.0,0.0,0.0,wind=OSM/Dunnett turbine counts; solar=Kruitwagen PV
2,38.5,115.25,1.0,0.0,1.1991,0,0,0.0,0.0,0.0,0.0,wind=OSM/Dunnett turbine counts; solar=Kruitwagen PV
3,38.5,115.5,1.0,0.0,1.0507,0,0,0.0,0.0,0.0,0.0,wind=OSM/Dunnett turbine counts; solar=Kruitwagen PV
4,38.5,115.75,1.0,0.0,0.9105,0,0,0.0,0.0,0.0,0.0,wind=OSM/Dunnett turbine counts; solar=Kruitwagen PV
5,38.5,116.0,1.0,0.0,0.8184,0,0,0.0,0.0,0.0,0.0,wind=OSM/Dunnett turbine counts; solar=Kruitwagen PV
6,38.5,116.25,1.0,0.0,0.6732,0,0,0.0,0.0,0.0,0.0,wind=OSM/Dunnett turbine counts; solar=Kruitwagen PV
7,38.5,116.5,1.0,0.0,0.5546,0,0,0.0,0.0,0.0,0.0,wind=OSM/Dunnett turbine counts; solar=Kruitwagen PV
8,38.5,116.75,1.0,0.0,0.5271,0,0,0.0,0.0,0.0,0.0,wind=OSM/Dunnett turbine counts; solar=Kruitwagen PV
9,38.5,117.0,1.0,0.0,0.5255,0,0,0.0,0.0,0.0,0.0,wind=OSM/Dunnett turbine counts; solar=Kruitwagen PV
10,38.5,117.25,1.0,0.0,0.3647,0,0,0.0,0.0,0.0,0.0,wind=OSM/Dunnett turbine counts; solar=Kruitwagen PV
11,38.5,117.5,1.0,0.0,0.2349,0,0,0.0,0.0,0.0,0.0,wind=OSM/Dunnett turbine counts; solar=Kruitwagen PV
12,38.5,117.75,0.0,0.0,0.0762,0,0,0.0,0.0,0.0,0.0,wind=OSM/Dunnett turbine counts; solar=Kruitwagen PV
