latitude,longitude,installation_year,sea_name,water_depth_m,distance_to_shore_km
37.244593,119.5885,2022,Bohai,-6.96,12.07
37.264612,119.419888,2022,Bohai,-8.12,15.67
37.78444,120.272229,2024,Bohai,-14.71,13.6
37.260596,119.433091,2022,Bohai,-8.12,15.41
37.258535,119.439697,2022,Bohai,-8.11,15.08
37.806747,120.280103,2024,Bohai,-15.71,16.22
37.252445,119.459409,2022,Bohai,-8.1,13.39
37.246006,119.414047,2022,Bohai,-8.11,13
37.233911,119.448081,2022,Bohai,-7.09,11.58
37.232445,119.454522,2022,Bohai,-7.08,11.08
38.012013,119.332101,2023,Bohai,-18.78,16.78
37.261361,119.609608,2022,Bohai,-7.91,15.15
37.261286,119.629218,2022,Bohai,-7.9,15.29
38.00024,119.219263,2025,Bohai,-14.77,14.03
37.999184,119.233694,2025,Bohai,-14.77,13.53
37.261104,119.562629,2022,Bohai,-8.12,13.7
37.99721,119.262539,2025,Bohai,-15.71,12.85
38.035406,119.299825,2023,Bohai,-17.77,18.69
37.258059,119.658672,2022,Bohai,-7.93,14.38
38.307177,118.872303,2022,Bohai,-18.2,22.51
37.244928,119.654095,2022,Bohai,-6.95,12.66
37.244848,119.610343,2022,Bohai,-6.93,13.11
37.244597,119.566649,2022,Bohai,-7.99,11.46
37.244594,119.577579,2022,Bohai,-6.97,11.71
37.238746,119.680035,2022,Bohai,-7,11.55
38.043844,119.230618,2023,Bohai,-15.76,19.78
37.228524,119.633341,2022,Bohai,-6.94,10.69
38.042332,119.244376,2023,Bohai,-15.75,19.34
37.228433,119.649035,2022,Bohai,-6.97,10.52
37.228346,119.664726,2022,Bohai,-7,10.18
38.300144,118.765457,2022,Bohai,-16.29,17.67
37.228524,119.602011,2022,Bohai,-5.95,10.71
37.228273,119.625556,2022,Bohai,-6.94,10.73
37.228138,119.586365,2022,Bohai,-5.97,9.85
37.228085,119.594243,2022,Bohai,-5.96,10.23
37.228022,119.578578,2022,Bohai,-5.98,9.52
38.290705,118.844563,2022,Bohai,-16.35,19.26
38.023467,119.214493,2023,Bohai,-14.89,17.35
38.022795,119.221404,2023,Bohai,-15.74,17.08
38.02192,119.228351,2023,Bohai,-15.74,16.8
38.288845,118.983301,2022,Bohai,-19.2,23.83
37.228273,119.671075,2022,Bohai,-6.86,10.1
37.29432,119.441354,2022,Bohai,-8.9,19.14
37.291983,119.453156,2022,Bohai,-9.06,18.84
38.284605,118.777088,2022,Bohai,-14.42,15.65
38.284452,118.783393,2022,Bohai,-15.27,15.77
38.016533,119.290497,2023,Bohai,-16.76,15.86
38.284318,118.78966,2022,Bohai,-15.26,15.92
37.286409,119.420491,2022,Bohai,-9.07,17.06
37.286045,119.477102,2022,Bohai,-8.05,17.41
37.284759,119.425948,2022,Bohai,-9.07,17.7
37.282829,119.431438,2022,Bohai,-9.08,18.36
37.280133,119.438872,2022,Bohai,-9.08,17.84
37.27776,119.445938,2022,Bohai,-9.09,17.23
37.275008,119.453633,2022,Bohai,-9.09,16.57
37.269962,119.468419,2022,Bohai,-8.1,15.41
37.267885,119.408151,2022,Bohai,-8.26,15.97
37.999401,119.226568,2025,Bohai,-14.77,13.73
38.275376,119.064393,2022,Bohai,-21.1,27.37
37.997831,119.255312,2025,Bohai,-15.73,12.97
37.256153,119.446376,2022,Bohai,-8.11,14.45
38.343526,118.483745,2022,Bohai,-13.81,34.16
38.342828,118.490191,2022,Bohai,-14.66,34.2
38.342687,118.496397,2022,Bohai,-14.8,34.34
38.341679,118.502809,2022,Bohai,-15.66,34.37
38.341517,118.509047,2022,Bohai,-15.66,34.53
38.34126,118.477474,2022,Bohai,-13.67,33.71
38.341131,118.515308,2022,Bohai,-15.65,34.11
38.340327,118.521657,2022,Bohai,-15.65,33.64
38.339944,118.527936,2022,Bohai,-15.65,33.23
38.339323,118.534233,2022,Bohai,-15.64,32.79
37.235744,119.441972,2022,Bohai,-7.1,12.01
38.338911,118.540523,2022,Bohai,-15.63,32.4
38.338325,118.546836,2022,Bohai,-15.63,31.99
38.33775,118.55316,2022,Bohai,-15.62,31.6
37.231093,119.460792,2022,Bohai,-7.08,10.59
37.229591,119.467094,2022,Bohai,-7.22,10.11
38.336511,118.464983,2022,Bohai,-13.68,32.83
38.335675,118.578309,2022,Bohai,-15.58,29.77
38.33549,118.584569,2022,Bohai,-15.57,29.3
38.334809,118.590923,2022,Bohai,-15.55,28.78
38.334355,118.597218,2022,Bohai,-15.54,28.3
37.250339,119.466115,2022,Bohai,-8.09,12.85
38.333418,118.603601,2022,Bohai,-15.53,27.76
38.332921,118.609889,2022,Bohai,-15.52,27.3
38.0454,119.216857,2023,Bohai,-15.76,20.31
38.044532,119.223779,2023,Bohai,-15.76,20.03
38.33163,118.452554,2022,Bohai,-13.69,31.98
38.043036,119.237505,2023,Bohai,-15.75,19.54
38.329328,118.44627,2022,Bohai,-12.7,31.59
38.041173,119.251284,2023,Bohai,-15.89,19.11
38.040511,119.25824,2023,Bohai,-16.75,18.97
38.039594,119.265169,2023,Bohai,-16.76,18.84
38.039206,119.272075,2023,Bohai,-16.76,18.8
38.037953,119.279035,2023,Bohai,-16.76,18.68
38.03729,119.285914,2023,Bohai,-17.76,18.68
38.036397,119.292784,2023,Bohai,-17.76,18.67
38.31979,118.691135,2025,Bohai,-16.4,21.48
38.030887,119.235848,2023,Bohai,-14.74,17.87
38.024745,119.200646,2023,Bohai,-14.76,17.93
38.024072,119.2076,2023,Bohai,-14.75,17.62
38.318663,118.703577,2025,Bohai,-16.4,20.93
38.31791,118.69734,2025,Bohai,-16.4,21.02
38.317533,118.715987,2025,Bohai,-16.39,20.46
38.021335,119.235278,2023,Bohai,-15.74,16.55
38.020694,119.242141,2023,Bohai,-15.74,16.34
38.019965,119.249107,2023,Bohai,-15.74,16.14
38.019395,119.256006,2023,Bohai,-15.74,16
38.018908,119.262865,2023,Bohai,-15.74,15.91
38.018082,119.269845,2023,Bohai,-14.74,15.81
38.017407,119.276717,2023,Bohai,-14.89,15.77
38.306523,118.853463,2022,Bohai,-18.21,21.69
38.016772,119.283623,2023,Bohai,-15.89,15.77
38.015699,119.297461,2023,Bohai,-16.76,15.92
38.014614,119.304457,2023,Bohai,-17.77,15.97
38.013904,119.318177,2023,Bohai,-17.92,16.38
38.012937,119.325136,2023,Bohai,-18.78,16.56
38.301962,118.791995,2022,Bohai,-16.27,18.41
38.011292,119.339013,2023,Bohai,-18.92,17.05
38.010826,119.345895,2023,Bohai,-18.76,17.39
38.000719,119.212083,2025,Bohai,-14.77,14.31
38.299713,118.758768,2022,Bohai,-15.46,17.56
38.299259,118.752139,2022,Bohai,-15.32,17.48
38.296931,118.935995,2023,Bohai,-17.18,22.52
37.998242,119.248166,2025,Bohai,-15.74,13.1
38.014001,119.31136,2023,Bohai,-17.77,16.13
38.291148,118.969777,2023,Bohai,-19.2,23.41
37.996801,119.269752,2025,Bohai,-15.86,12.81
38.290432,118.639774,2022,Bohai,-13.46,20.47
38.307526,118.866005,2022,Bohai,-18.2,22.54
38.28985,118.85089,2022,Bohai,-17.2,19.55
38.289311,118.631188,2022,Bohai,-13.47,20.94
38.289417,118.85725,2022,Bohai,-17.19,19.91
38.287778,118.990009,2022,Bohai,-19.19,24.01
38.289154,118.622437,2022,Bohai,-13.48,21.56
38.288162,118.613789,2022,Bohai,-13.49,22.12
38.338939,118.471239,2022,Bohai,-13.68,33.27
38.287158,118.862908,2022,Bohai,-17.18,19.65
38.286639,118.99679,2023,Bohai,-19.19,24.22
38.337026,118.559526,2022,Bohai,-15.61,31.19
38.336806,118.565697,2022,Bohai,-15.6,30.82
38.285255,118.751897,2022,Bohai,-13.33,15.49
38.284646,118.770792,2022,Bohai,-14.29,15.55
38.333929,118.458801,2022,Bohai,-13.69,32.38
38.332404,118.616194,2022,Bohai,-15.52,26.83
38.331703,118.622514,2022,Bohai,-15.66,26.36
38.331445,118.628747,2022,Bohai,-16.5,25.96
38.326843,118.440062,2022,Bohai,-12.7,31.03
38.324386,118.433834,2022,Bohai,-11.71,30.48
38.32223,118.427561,2022,Bohai,-11.71,29.98
38.32148,118.666441,2025,Bohai,-15.42,22.72
38.32075,118.672677,2025,Bohai,-15.42,22.34
38.320296,118.67887,2025,Bohai,-15.41,22.02
38.319807,118.685061,2025,Bohai,-15.41,21.71
38.319825,118.421278,2022,Bohai,-12.73,29.46
38.31791,118.709804,2025,Bohai,-16.39,20.66
38.317354,118.415084,2022,Bohai,-12.74,28.94
38.317289,118.722098,2025,Bohai,-16.39,20.31
38.316529,118.72838,2025,Bohai,-16.39,20.1
38.315423,118.734324,2025,Bohai,-16.38,19.87
38.307,118.859742,2022,Bohai,-18.2,22.12
38.305136,118.834725,2022,Bohai,-18.24,20.5
38.305575,118.841004,2022,Bohai,-18.23,20.88
38.302431,118.798679,2022,Bohai,-17.26,18.67
38.301557,118.785376,2022,Bohai,-16.28,18.19
38.301021,118.778709,2022,Bohai,-17.14,17.98
38.300473,118.772113,2022,Bohai,-16.29,17.79
38.266025,118.594949,2022,Bohai,-10.52,20.42
38.266375,118.657853,2022,Bohai,-10.44,16.54
38.295498,118.942837,2023,Bohai,-17.19,22.62
38.294337,118.949582,2023,Bohai,-18.19,22.77
38.293168,118.956362,2023,Bohai,-19.2,22.95
38.266049,119.028469,2023,Bohai,-19.3,23.73
38.26578,118.582394,2022,Bohai,-10.56,21.09
38.266109,118.613826,2022,Bohai,-10.5,19.48
38.289849,118.838267,2022,Bohai,-16.23,18.79
38.265291,118.557313,2022,Bohai,-11.61,22.61
38.290066,118.97652,2023,Bohai,-19.2,23.66
38.265924,118.607557,2022,Bohai,-10.51,19.78
38.265732,118.588712,2022,Bohai,-10.54,20.72
38.265303,118.544702,2023,Bohai,-10.62,23.47
38.265487,118.569893,2022,Bohai,-10.58,21.81
38.265673,118.576131,2022,Bohai,-10.58,21.45
38.265359,118.551002,2022,Bohai,-10.76,23.06
38.287463,118.602082,2023,Bohai,-13.51,22.78
38.286894,118.795204,2022,Bohai,-15.25,16.45
38.263839,119.05549,2023,Bohai,-20.12,25.51
38.286313,118.758254,2022,Bohai,-13.31,15.66
38.28596,118.764453,2022,Bohai,-13.45,15.65
38.262803,119.071104,2023,Bohai,-19.09,26.15
38.284612,118.868514,2022,Bohai,-17.18,19.29
38.284543,119.010257,2022,Bohai,-19.19,24.7
38.261352,119.086751,2023,Bohai,-20.05,26.8
38.28323,119.017063,2022,Bohai,-20.19,24.95
38.281942,118.873808,2022,Bohai,-16.17,18.94
38.281997,119.023823,2022,Bohai,-21.19,25.23
38.280737,119.030595,2022,Bohai,-21.19,25.52
38.278926,119.041823,2022,Bohai,-21.15,26.09
38.277669,119.04936,2022,Bohai,-21.13,26.49
38.276352,119.056893,2022,Bohai,-21.11,26.9
38.275722,118.883602,2022,Bohai,-16.32,18.16
38.274107,119.071962,2022,Bohai,-21.08,27.63
38.272792,118.88897,2022,Bohai,-17.17,17.83
38.272648,119.079552,2022,Bohai,-21.07,27.82
38.271891,118.937423,2023,Bohai,-17.19,19.31
38.271637,119.087016,2022,Bohai,-21.05,28.08
38.271267,118.894899,2022,Bohai,-17.18,17.74
38.270338,119.094568,2022,Bohai,-20.03,28.34
38.2686,118.999776,2023,Bohai,-19.17,22.17
38.268718,118.942864,2023,Bohai,-17.19,19.18
38.26872,119.102209,2023,Bohai,-20.02,28.58
38.268072,119.006925,2023,Bohai,-19.31,22.54
38.268081,118.899754,2022,Bohai,-17.18,17.41
38.267339,118.906175,2022,Bohai,-17.18,17.49
38.26731,119.014141,2023,Bohai,-19.16,22.91
38.266711,119.021323,2023,Bohai,-19.16,23.31
38.266677,118.664072,2022,Bohai,-10.58,16.15
38.266572,118.670413,2022,Bohai,-11.43,15.72
38.266426,118.63895,2022,Bohai,-11.47,17.96
38.26635,118.645276,2022,Bohai,-11.46,17.46
38.266557,118.651514,2022,Bohai,-11.31,17.02
38.250792,118.895065,2023,Bohai,-16.17,14.91
38.266117,118.948267,2023,Bohai,-18.18,19.14
38.26624,118.620106,2022,Bohai,-11.49,19.2
38.266119,118.626432,2022,Bohai,-11.49,18.91
38.266234,118.632681,2022,Bohai,-11.48,18.43
38.265929,118.601294,2022,Bohai,-10.52,20.09
38.265629,118.563535,2022,Bohai,-11.46,22.24
37.261433,119.619418,2022,Bohai,-7.9,15.38
37.261384,119.639042,2022,Bohai,-7.9,15.21
37.261442,119.648805,2022,Bohai,-7.91,15.04
37.26123,119.580153,2023,Bohai,-8.95,14.04
37.261243,119.59003,2022,Bohai,-8.93,14.33
38.26529,119.039787,2023,Bohai,-20.14,24.47
38.264381,118.854796,2023,Bohai,-14.17,16.45
37.261266,119.570775,2022,Bohai,-8.97,13.84
37.261254,119.599823,2022,Bohai,-8.78,14.7
38.262876,118.953758,2023,Bohai,-18.18,19.05
37.244982,119.643157,2022,Bohai,-6.93,12.88
37.2451,119.664987,2022,Bohai,-6.97,12.5
