name,gppd_idnr,capacity_mw,latitude,longitude,primary_fuel,commissioning_year,owner,source,country
Lankou A,WKS0073756,175.0,34.9600,114.8490,Solar,,,Wiki-Solar,CHN
Haizhou B,WKS0070157,110.0,34.6710,119.0170,Solar,,,Wiki-Solar,CHN
Kenli A,WKS0069982,100.0,37.5510,118.8270,Solar,,,Wiki-Solar,CHN
Shouguang C,WKS0069985,100.0,37.1810,118.7500,Solar,,,Wiki-Solar,CHN
Xiangshui JS,WKS0064514,100.0,34.4010,119.9510,Solar,,,Wiki-Solar,CHN
Mashang,WKS0064816,80.0,36.0130,114.8910,Solar,,,Wiki-Solar,CHN
Hekou A,WKS0070225,70.0,38.0920,118.4070,Solar,,,Wiki-Solar,CHN
Taiqian A,WKS0073752,70.0,35.9480,115.7470,Solar,,,Wiki-Solar,CHN
Bawei Floating,WKS0069743,60.0,34.3730,120.0720,Solar,,,Wiki-Solar,CHN
Weishan C,WKS0070127,60.0,34.9600,116.9260,Solar,,,Wiki-Solar,CHN
Huanghua A,WKS0069501,50.0,38.3900,117.5770,Solar,,,Wiki-Solar,CHN
Nanle B,WKS0073407,50.0,36.1500,115.1650,Solar,,,Wiki-Solar,CHN
Peixian A,WKS0069986,50.0,34.8110,116.8270,Solar,,,Wiki-Solar,CHN
Shouguang A,WKS0069983,50.0,37.2470,118.9320,Solar,,,Wiki-Solar,CHN
Fengxian B,WKS0070131,40.0,34.7930,116.6500,Solar,,,Wiki-Solar,CHN
Ganyu B,WKS0070158,40.0,34.7280,119.1730,Solar,,,Wiki-Solar,CHN
Taiqian B,WKS0073757,40.0,35.9700,115.7920,Solar,,,Wiki-Solar,CHN
Weishan E,WKS0070129,40.0,34.8310,117.0690,Solar,,,Wiki-Solar,CHN
Kenli B,WKS0070224,35.0,37.4960,118.3880,Solar,,,Wiki-Solar,CHN
Weishan D,WKS0070128,35.0,34.9220,116.9740,Solar,,,Wiki-Solar,CHN
Fengxian A,WKS0070130,30.0,34.7930,116.6380,Solar,,,Wiki-Solar,CHN
Hanergy Pizhou,WRI1025939,30.0,34.4900,117.6500,Solar,,Hanergy Pizhou Solar,UNFCCC CDM,CHN
Shouguang B,WKS0069984,30.0,37.2470,118.9460,Solar,,,Wiki-Solar,CHN
Weixian,WKS0066500,30.0,36.8740,115.2920,Solar,,,Wiki-Solar,CHN
Xiangshui JS A,WKS0069742,30.0,34.4190,119.9420,Solar,,,Wiki-Solar,CHN
Jiangshui A,WKS0069954,25.0,34.4200,119.9420,Solar,,,Wiki-Solar,CHN
Linxi A,WKS0073736,25.0,36.8592,115.6434,Solar,,,Wiki-Solar,CHN
Peixian E,WKS0070123,25.0,34.8530,116.8720,Solar,,,Wiki-Solar,CHN
Pizhou II,WKS0066658,25.0,34.4970,117.6540,Solar,,,Wiki-Solar,CHN
Zhaoyang A,WKS0070221,25.0,34.7120,117.1210,Solar,,,Wiki-Solar,CHN
Yaoliwang,WKS0062417,23.8,34.4720,116.7200,Solar,,,Wiki-Solar,CHN
Ganyu A,WKS0070156,20.0,34.7910,119.1700,Solar,,,Wiki-Solar,CHN
Guanxian A,WKS0074076,20.0,36.6030,115.5260,Solar,,,Wiki-Solar,CHN
Gulou A,WKS0070154,20.0,34.3030,117.3460,Solar,,,Wiki-Solar,CHN
Haizhou A,WKS0069987,20.0,34.6080,119.3590,Solar,,,Wiki-Solar,CHN
Julu A,WKS0073487,20.0,37.3420,115.0020,Solar,,,Wiki-Solar,CHN
Lianyun A,WKS0070159,20.0,34.6930,119.2600,Solar,,,Wiki-Solar,CHN
Nanle A,WKS0073406,20.0,36.1000,115.1110,Solar,,,Wiki-Solar,CHN
Peixian D,WKS0070122,20.0,34.8660,116.8660,Solar,,,Wiki-Solar,CHN
Shenxian A,WKS0073408,20.0,35.9290,115.3910,Solar,,,Wiki-Solar,CHN
Taian,WKS0067367,20.0,35.9800,117.3200,Solar,,,Wiki-Solar,CHN
Wanglou A,WKS0070222,20.0,34.7160,117.0780,Solar,,,Wiki-Solar,CHN
